Date,Open,High,Low,Close,Volume
04/12/20,2884.301018,2924.745768,2875.468673,2895.756592,739106
07/12/20,2895.756396,2916.394234,2857.629152,2902.883545,481597
08/12/20,2903.277478,2959.900134,2886.268862,2908.699219,823352
09/12/20,2916.394078,2932.703063,2885.787244,2891.515137,397850
10/12/20,2891.209044,2903.233158,2861.345603,2877.785889,469288
11/12/20,2881.93985,2918.274367,2873.151273,2909.966797,611154
14/12/20,2909.966821,2916.000868,2855.180667,2876.168213,425416
15/12/20,2871.795776,2927.062936,2852.557193,2860.99585,746643
16/12/20,2876.168412,2893.177028,2843.812611,2888.848389,616704
17/12/20,2891.996392,2912.021923,2849.059287,2859.946533,678073
18/12/20,2864.712683,2940.880076,2860.340277,2927.369385,1362381
21/12/20,2931.697793,2933.883995,2797.027707,2831.78833,797760
22/12/20,2837.691349,2872.670595,2773.854225,2855.443359,825331
23/12/20,2869.172278,2902.358791,2851.682657,2894.226074,816586
24/12/20,2901.527988,2993.829501,2899.822793,2951.154785,1567636
28/12/20,2962.741731,2992.474086,2950.498997,2986.090332,536954
29/12/20,3002.093394,3025.616849,2990.768908,3000.825439,682613
30/12/20,3005.766272,3036.94165,2977.826645,3015.341797,639180
31/12/20,3030.033161,3030.033161,2996.71556,3011.756592,410959
01/01/21,3013.461894,3055.436988,3013.461894,3044.287354,421643
04/01/21,3051.938807,3085.169086,3030.076781,3080.315674,647829
05/01/21,3060.902489,3065.056275,3038.821842,3054.256348,561562
06/01/21,3054.256094,3084.294603,3004.629295,3028.06543,591620
07/01/21,3060.683463,3067.110984,2997.939452,3006.421875,531361
08/01/21,3033.574613,3099.685463,3006.509469,3086.174561,675643
11/01/21,3087.792673,3178.345231,3079.047862,3163.304199,788461
12/01/21,3158.581975,3185.559802,3111.491295,3169.338135,863270
13/01/21,3169.337919,3176.989628,3128.01869,3148.918701,515154
14/01/21,3148.131767,3199.419995,3100.035309,3127.187988,743848
15/01/21,3137.638247,3168.245086,3096.537635,3130.904785,684649
18/01/21,3106.156489,3163.916001,3065.055882,3116.431641,602004
19/01/21,3118.180895,3204.09866,3114.114643,3183.985596,586410
20/01/21,3183.110784,3229.283423,3173.797647,3186.564941,549040
21/01/21,3211.094278,3329.149214,3196.402954,3238.465576,1533886
22/01/21,3279.260332,3611.606914,3270.603054,3576.19043,8537143
25/01/21,3629.096868,3681.565738,3550.393562,3645.668457,2368224
27/01/21,3614.579841,3704.870008,3592.455641,3625.904541,2062088
28/01/21,3567.882596,3664.075509,3564.909446,3616.678467,1262871
29/01/21,3644.836618,3677.498567,3489.179008,3502.99585,1406268
01/02/21,3553.890936,3621.225975,3476.10589,3598.227295,745011
02/02/21,3634.168221,3735.039697,3600.457147,3674.088623,1167922
03/02/21,3677.193086,3724.546153,3637.928969,3704.608154,681937
