Date,Open,High,Low,Close,Volume
26/06/20,163.59010270581675,165.9342352657766,160.89685405905863,161.74472045898438,6772909
29/06/20,160.99660860969217,163.1412442699687,156.3582363934584,159.35073852539062,2937549
30/06/20,160.99660424377024,163.73973112365306,154.86198112792968,155.85948181152344,3827240
01/07/20,156.75723108840296,158.6026134972294,155.65998943559381,157.2559814453125,1681231
02/07/20,159.4006184498172,160.54773819207244,155.7597316814381,157.8046112060547,2152710
03/07/20,159.60012817382812,163.44051234627258,157.0066200027417,159.60012817382812,4481657
06/07/20,161.54523524249512,164.7871125159223,160.09886227232738,163.78961181640625,3515662
07/07/20,164.08886486765098,170.22348807383398,162.89186707384124,167.7297363,8172143
08/07/20,167.5801402835027,169.07639153603395,160.99662868410314,162.59263610839844,3650115
09/07/20,162.59260636430733,164.68736382290584,161.04647730873717,162.34323120117188,1711099
10/07/20,161.0963773,162.9916226742792,158.10387490124066,159.30087280273438,1950837
13/07/20,161.04648613396097,162.04398684116498,153.96424024520402,155.6599884033203,2585981
14/07/20,155.5103557452634,155.85948708459412,148.62760688386894,149.3757324,2352010
15/07/20,149.72487017918257,153.46549802955536,146.63261173461294,147.3807373046875,2180415
16/07/20,147.72987408794606,149.62511951352232,144.83711264495875,148.52786254882812,1473784
17/07/20,149.37573269360493,153.51535458984094,148.62760715423798,151.2211151123047,2222846
20/07/20,152.76722197746673,161.4953528659755,151.71985844736759,160.29835510253906,6329853
21/07/20,161.0464814011624,167.6798700415204,158.70236394051304,166.88186645507812,6517373
22/07/20,166.58262778695848,171.5701316129153,161.59512396100163,168.97662353515625,4611051
23/07/20,167.92924607665014,170.27336354938316,164.98660688518456,169.52523803710938,2199241
24/07/20,166.98159986877056,169.32573244448062,163.24097249518115,168.32823181152344,1801357
27/07/20,168.2284812990785,168.62749069802746,162.59260862221362,165.5352325439453,1156539
28/07/20,165.88434709601162,174.46284282739856,163.39059568212284,173.11622619628906,4829045
29/07/20,173.56511481407708,190.37300702082757,171.61999157149802,178.65237426757812,15392378
30/07/20,178.75212492711645,180.89676059487755,172.81699872220173,174.6125030517578,3403335
