Date,Open,High,Low,Close,Volume
26/06/20,1635.370555,1635.705257,1597.785677,1613.135254,2129986
29/06/20,1613.374356,1633.888168,1600.989578,1618.108276,2753482
30/06/20,1634.31874,1643.021567,1608.258008,1613.80481,1960731
01/07/20,1623.894259,1623.894259,1606.727697,1614.330688,1661296
02/07/20,1625.807074,1629.632503,1587.648402,1612.848389,2038399
03/07/20,1621.407761,1644.934121,1616.24341,1621.646851,1988941
06/07/20,1634.366486,1637.283422,1618.299756,1634.270874,1236670
07/07/20,1634.366197,1673.529085,1631.401514,1669.560181,2983260
08/07/20,1673.624868,1684.909928,1606.727737,1612.657104,2725937
09/07/20,1620.068777,1646.846773,1618.251675,1642.304077,1904661
10/07/20,1633.410162,1636.327098,1621.216608,1629.154419,1156043
13/07/20,1633.457743,1657.271055,1625.806887,1631.210327,1289791
14/07/20,1631.210293,1643.021278,1608.688039,1614.713135,1347120
15/07/20,1625.807036,1638.813469,1590.708778,1598.694336,1611341
16/07/20,1606.488741,1623.033649,1573.303079,1619.303833,1442725
17/07/20,1621.025061,1666.452017,1616.004187,1642.925659,2308792
20/07/20,1651.628548,1680.65396,1645.173138,1675.154907,1848600
21/07/20,1684.144779,1694.425617,1643.977783,1648.998657,2088461
22/07/20,1648.998731,1660.618493,1617.199857,1621.742554,1300409
23/07/20,1617.674341,1665.534528,1614.80273,1653.856689,2375218
24/07/20,1650.2193,1653.090911,1610.016742,1638.780762,3971563
27/07/20,1643.710359,1711.480436,1643.710359,1702.052002,6470525
28/07/20,1702.865374,1715.931228,1676.111577,1684.343506,2534092
29/07/20,1694.250857,1703.727199,1655.962702,1665.678345,1530981
30/07/20,1677.021047,1701.908346,1654.143853,1668.741211,2113975
31/07/20,1678.935352,1695.112118,1637.201292,1642.083008,1678643
03/08/20,1655.005274,1660.748497,1624.853356,1632.510986,1437425
04/08/20,1645.433291,1660.748551,1635.430558,1640.599365,1815396
05/08/20,1644.476077,1667.40106,1639.211456,1642.848877,1416803
06/08/20,1657.924726,1677.11659,1646.486072,1653.61731,1914507
07/08/20,1653.617566,1739.143707,1651.846646,1728.949463,5166075
10/08/20,1732.538852,1746.226912,1700.951127,1706.072144,1892614
11/08/20,1722.966844,1759.149195,1703.822768,1712.964111,3039662
12/08/20,1713.346717,1728.709883,1696.164957,1720.334351,1679096
13/08/20,1729.092926,1737.324855,1711.480353,1725.407715,1192375
14/08/20,1740.866462,1751.682912,1718.659381,1725.407715,1868376
17/08/20,1742.110935,1763.64802,1724.737662,1758.096191,1634180
18/08/20,1752.64005,1803.371848,1752.64005,1793.895508,2586298
19/08/20,1809.115046,1820.984396,1792.411888,1804.999023,1947114
20/08/20,1788.008741,1799.543093,1777.575313,1794.661377,1538879
21/08/20,1807.105114,1888.802436,1800.261083,1874.205078,5688228
24/08/20,1874.205071,1910.578816,1856.975402,1878.17749,3996329
25/08/20,1880.187478,1930.536373,1879.948177,1914.981812,3544399
26/08/20,1915.316919,1923.022456,1871.812052,1887.031616,2245810
27/08/20,1896.124991,1923.022394,1885.739354,1897.656494,3116305
28/08/20,1908.664422,1911.536033,1869.706273,1874.300781,1842536
31/08/20,1892.392009,1898.996739,1800.73974,1817.825806,2738522
01/09/20,1842.617412,1902.921255,1826.105646,1894.593628,3068285
02/09/20,1893.301278,1911.536058,1842.617382,1860.756348,2569603
03/09/20,1866.738929,1902.777678,1861.761516,1893.349243,1931667
04/09/20,1874.204898,1908.377024,1867.504472,1872.625488,1930422
07/09/20,1880.905399,1917.901347,1864.728632,1897.27356,2855392
08/09/20,1902.442451,1916.273998,1868.461718,1876.454346,2401034
09/09/20,1876.454346,1908.568578,1874.20494,1894.354126,2776804
10/09/20,1900.097405,1981.124612,1896.220683,1968.537476,5081252
11/09/20,1974.711255,1981.363774,1935.465903,1948.818848,2599475
14/09/20,1962.267817,1966.096633,1919.193646,1944.272339,2142458
15/09/20,1957.48174,1961.837064,1923.070311,1931.206543,1997383
16/09/20,1940.252106,1940.252106,1908.807985,1925.989746,1717740
17/09/20,1914.407489,1957.481657,1914.407489,1922.017212,2416918
18/09/20,1939.582059,1956.859517,1928.765609,1941.592163,3021436
21/09/20,1949.249761,1968.968135,1878.320986,1888.132324,2518361
22/09/20,1905.026867,1910.291487,1843.90943,1854.582275,1974860
23/09/20,1856.975264,1904.835451,1845.776027,1863.244995,2732912
24/09/20,1858.459152,1861.761459,1826.105616,1836.251953,1906183
25/09/20,1842.85653,1871.333342,1826.344766,1843.191528,1939316
28/09/20,1855.061089,1874.205167,1847.403459,1862.335815,1137313
29/09/20,1876.119562,1904.787771,1870.376339,1876.071655,1965383
30/09/20,1881.958365,1918.236412,1874.348641,1901.389648,2518982
01/10/20,1921.107924,1961.645596,1906.797775,1953.126343,2014003
05/10/20,1953.126491,1955.2802,1924.936886,1941.209351,1554873
06/10/20,1962.267877,2008.117847,1957.577554,2000.55603,3152378
07/10/20,1990.983967,2028.123522,1985.192837,2014.914063,2429595
08/10/20,2014.435446,2017.737752,1983.374229,1999.263672,1427493
09/10/20,2004.384589,2018.646831,1957.625211,1962.842041,1636939
12/10/20,1979.401539,1997.157715,1953.892153,1988.925903,2182836
13/10/20,1988.112455,2023.528998,1966.144673,1976.290894,2619233
14/10/20,1981.411661,1996.248318,1967.053606,1982.703979,1530471
15/10/20,1981.411923,2033.100929,1977.631014,2000.986694,4001883
16/10/20,2000.50826,2000.556167,1967.580539,1972.988647,2017706
19/10/20,1990.93613,1990.93613,1968.489746,1981.507813,1338404
20/10/20,1988.973615,2040.567038,1978.875302,2027.836182,2377713
21/10/20,2038.844462,2052.10183,1992.180768,2023.816406,2895432
22/10/20,2023.720165,2026.256895,1987.920838,2010.032104,2755686
23/10/20,2023.050349,2038.269796,2006.299281,2029.511475,3070714
26/10/20,2025.778555,2025.778555,1981.459968,1991.414795,1278139
27/10/20,1995.769803,2112.883774,1995.769803,2103.742432,4964874
28/10/20,2108.871673,2126.846645,2061.273807,2070.2854,3166047
29/10/20,2072.634166,2140.939061,2071.77146,2133.461426,4795796
30/10/20,2118.745853,2150.142135,2104.749249,2120.087891,3006197
02/11/20,2107.145732,2133.892393,2076.564411,2083.0354,1772571
03/11/20,2103.215003,2103.215003,2058.014043,2065.587402,1781465
04/11/20,2070.716541,2122.340748,2066.881881,2079.775879,2189957
05/11/20,2099.476222,2152.873812,2093.388606,2145.779785,2671841
06/11/20,2141.609926,2155.079218,2111.459954,2117.739258,2395965
09/11/20,2156.037711,2156.037711,2122.62814,2133.221436,1691773
10/11/20,2133.221466,2146.019738,2098.517837,2108.823486,1879561
11/11/20,2113.856227,2131.112197,2068.127956,2091.519287,2387398
12/11/20,2082.220739,2110.741028,2072.634087,2082.029053,1626054
13/11/20,2090.369109,2115.34238,2082.220457,2089.841797,1560060
14/11/20,2101.393588,2102.735625,2090.225234,2094.299561,146991
17/11/20,2115.198604,2130.057913,2091.807269,2097.223633,1699293
18/11/20,2094.683363,2118.649992,2076.564685,2104.989014,1817170
