Date,Open,High,Low,Close,Volume
26/06/20,539.7878276,545.9568207,537.0406852,540.1734009,11317405
29/06/20,538.7275487,548.4148309,531.3054573,546.6315918,13162970
30/06/20,551.354654,556.1741699,537.2816197,539.6431885,13182057
01/07/20,554.2463529,554.2463529,538.1491342,539.932373,13894655
02/07/20,544.4145659,546.5351891,537.4744265,538.2937622,13795692
03/07/20,541.5228221,562.3914284,540.3661023,560.463562,21005887
06/07/20,566.3915687,568.0302399,554.2945304,555.7885742,16114629
07/07/20,558.1019577,561.572057,545.619406,546.6796875,12759442
08/07/20,551.3546942,553.2825007,538.8238921,541.0408936,9581306
09/07/20,543.6433577,549.6677824,540.07694,548.1255493,8611659
10/07/20,548.5593681,558.1020223,545.2338959,553.9572144,13532330
13/07/20,553.7644496,567.7411065,549.426885,565.6204834,16660491
14/07/20,563.4035425,575.2595764,557.6682523,568.0784912,32935464
15/07/20,567.6929615,567.6929615,539.4504505,543.2579346,20062926
16/07/20,545.4748761,545.7640711,533.3296464,542.4385986,11528871
17/07/20,542.7758998,553.186078,541.4746126,546.2941284,12189475
20/07/20,550.39079,561.4757372,547.113507,554.9693604,9789671
21/07/20,559.065901,562.7287571,545.9085802,547.2580566,12005925
22/07/20,547.4990732,554.7283474,542.4867404,548.6075439,11034525
23/07/20,549.4269195,554.9693935,543.6434398,546.7279663,9718786
24/07/20,544.6073461,546.9206658,535.3538274,539.2576294,9960443
27/07/20,538.052748,543.4024045,524.5098549,539.3057861,10895560
28/07/20,538.3420043,553.5235722,535.2575376,544.2218628,14210206
29/07/20,544.848324,548.6075587,540.0288077,545.7640381,9979767
30/07/20,555.2103114,559.4996869,523.4495734,532.7512817,45326361
31/07/20,531.0163072,539.1131676,526.5823636,534.8237915,13917435
03/08/20,534.4863103,536.4141167,526.6786463,527.5943604,9392745
04/08/20,528.2209722,533.3778727,526.1485382,529.1848755,12035116
05/08/20,532.0765623,540.2697398,526.8232837,538.7756958,12920232
06/08/20,543.3707726,543.3707726,534.6160679,537.1796265,10620956
07/08/20,537.8566265,545.0151356,534.0355309,542.5,7346008
10/08/20,545.8858516,546.5630429,536.6958879,540.6137085,9594610
11/08/20,539.7914664,542.209878,532.245998,533.1166382,8290695
12/08/20,532.0524771,542.9353582,527.55419,529.8275146,12613101
13/08/20,516.574654,530.4079927,507.1428185,517.8805542,37464752
14/08/20,525.1358054,525.1358054,507.8682695,511.3508301,18550546
17/08/20,513.2372003,515.1235673,501.1934451,504.3857422,19369462
18/08/20,505.0145553,511.83453,503.1765505,509.125885,13771669
19/08/20,511.7377313,522.2820775,509.8997266,518.3641968,17395288
20/08/20,513.672502,516.1876379,505.6432921,508.4002991,13690809
21/08/20,512.5116407,512.5116407,499.1619554,503.2732849,22244899
24/08/20,500.9999871,515.0268043,491.6165141,509.7062988,29714401
25/08/20,517.0583014,518.1707526,508.8356422,511.3992004,19881871
