Date,Close,High,Low,Open,Volume
2015-06-25,526.1473999023438,545.3084741508402,523.7855128433705,541.341916864315,1365130
2015-06-26,537.1184692382812,538.1867271238916,529.1718740732401,533.8596086640382,758630
2015-06-29,547.2962036132812,548.7791645068448,525.1602391531795,525.1602391531795,820960
2015-06-30,572.6415405273438,576.2294899043711,542.8745294549083,542.8745294549083,2526930
2015-07-01,553.9131469726562,585.4245813368739,551.3483926584319,576.9505974282281,1689990
2015-07-02,562.671142578125,574.696982868674,560.2732154554994,564.3253882113537,1113290
2015-07-03,555.7838134765625,571.9879920300767,554.5036645532069,569.2835357470555,897650
2015-07-06,551.736083984375,558.9163837089118,547.6523290949888,558.9163837089118,386210
2015-07-07,548.5402221679688,558.0193524837658,546.3000445963846,558.0193524837658,635270
2015-07-08,540.521728515625,546.318273821229,537.2943949396042,546.3002265036444,1090010
2015-07-09,543.5911254882812,549.8159079117048,540.9813079308454,547.6523211771482,708190
2015-07-10,537.5919189453125,547.2017307315385,534.2248285875281,546.3002451784388,920720
2015-07-13,536.879638671875,542.6942307197619,531.4256628061455,542.6942307197619,657450
2015-07-14,536.6632690429688,540.3503685234598,535.0541418204685,539.9807286985066,407380
2015-07-15,537.9973754882812,540.4945072980173,533.6792808448765,533.6792808448765,1014010
2015-07-16,543.1900634765625,544.9930344316069,538.6420846487088,539.9852892066477,355370
2015-07-17,547.9769287109375,552.1598343758892,542.6897253861559,542.6942372151598,528520
2015-07-20,547.2962036132812,552.7727376968024,546.0927559780771,550.3522519195408,199530
2015-07-21,547.06640625,550.6137491841475,545.3986802284707,549.9015955089033,226460
2015-07-22,540.0438232421875,545.2183404594575,538.5473817386563,545.2183404594575,262330
2015-07-23,546.3360595703125,547.1924814971671,540.8370219722584,540.8911088822551,313370
2015-07-24,543.9472045898438,552.1101470217674,540.8911563511095,545.5788907106112,305320
2015-07-27,564.4559326171875,568.5531672727969,543.8659873044863,549.9059488951696,1132390
2015-07-28,558.240234375,567.9357127298139,556.1262778549844,564.7805143257593,538870
2015-07-29,554.6524047851562,563.8430546588718,548.3194481044312,558.9209247714052,731260
2015-07-30,570.74853515625,576.0492746676529,539.1289180344669,543.7806143513202,1769790
2015-07-31,573.1103515625,576.0492029350331,559.8224648241871,559.8224648241871,1119550
2015-08-03,570.30224609375,585.9655561524403,560.7284747934747,575.598473235897,1087920
2015-08-04,572.5018920898438,575.4722714104114,569.7568841446035,572.4342696727839,1057710
2015-08-05,616.46728515625,630.8594686809685,594.0969228690562,613.0100688569472,3645550
