Date,Close,High,Low,Open,Volume
2015-06-25,492.58514404296875,495.290882133717,482.2478051290196,484.8379129042648,8286784
2015-06-26,491.5908203125,495.3372320679381,486.3412141244376,493.5102952646457,2823752
2015-06-29,488.72320556640625,491.0820532066663,476.62826072942744,483.28857959496446,3243918
2015-06-30,493.5797119140625,495.82292936028017,484.7224160163933,486.68813192103994,3645068
2015-07-01,495.9847106933594,498.13544605609917,490.29573251140926,490.8969763325264,2485594
2015-07-02,493.11883544921875,497.5458144257153,491.93057522306697,496.2876431546145,2241722
2015-07-03,500.5981750488281,501.48358231364347,491.18504152058415,491.18504152058415,2019644
2015-07-06,504.9085998535156,505.60759653074706,494.07415135642816,495.84496569254594,1633890
2015-07-07,506.46966552734375,508.63656653722285,502.57859552028845,502.57859552028845,2070736
2015-07-08,498.0816955566406,503.5571692493656,496.7536133144526,502.85817260774115,2700338
2015-07-09,500.5050048828125,501.8330873554234,494.00430085713447,495.215883869262,1398982
2015-07-10,508.2870788574219,510.2675694236782,497.9186282458449,498.524448114027,2450044
2015-07-13,510.8034362792969,515.3469142638778,505.60755007900633,505.60755007900633,3538042
2015-07-14,508.7996520996094,513.4829524262774,506.0735765311057,510.5005553313317,2837058
2015-07-15,511.0598449707031,513.2733348692091,508.31050302542695,509.3356755930378,1924702
2015-07-16,519.4476928710938,521.4515060413145,511.71214124505605,512.038373815635,3655212
2015-07-17,517.5138549804688,522.7330073389476,515.207131849257,521.6379239378241,1755494
2015-07-20,519.7039794921875,521.4514710170436,515.8594981375043,520.0301551563648,2275634
2015-07-21,511.68890380859375,525.6455150765529,509.38218058248003,520.3098630540869,5514068
2015-07-22,519.3078002929688,520.5427054608083,507.30836062625224,510.9198424676912,3643200
2015-07-23,516.2788696289062,520.3796153092246,512.6440647698988,518.6088581578891,2541586
2015-07-24,516.255615234375,519.5875106481654,512.8305430209023,514.0654484814041,2380504
2015-07-27,510.6636047363281,514.6944965068741,498.6175747056182,514.4149092437501,1664286
2015-07-28,516.5584716796875,519.0748707400043,509.0791855335075,509.8015047519875,3172836
2015-07-29,516.4885864257812,520.9388876196148,514.9508280065147,514.9740937629413,1971516
2015-07-30,517.5138549804688,520.5195178940088,513.1101418487888,515.8595401151905,4731094
2015-07-31,518.0264282226562,522.3834959601443,513.9955361677423,519.8670966455251,2824750
2015-08-03,510.4540100097656,520.7525501846155,509.5452801539125,518.539060597701,2172864
2015-08-04,506.283203125,513.5294904675154,504.18621337263716,511.7120879719035,2695464
2015-08-05,508.9627380371094,511.5257257539652,505.7007536702019,508.9394722794701,2061390
2015-08-06,510.7102966308594,513.2266962779152,505.8173194388899,508.82303955894287,1871856
2015-08-07,509.1724853515625,511.43256320614404,507.28517159003354,509.77824833445845,1613570
2015-08-10,510.1044616699219,515.3702022510623,507.00556517499604,510.26754950976164,1977188
2015-08-11,510.12774658203125,512.0616487442994,505.2580925389355,510.2908913124894,1363844
2015-08-12,498.8272705078125,510.22094966652935,497.5457766907548,507.1919642807566,3002870
2015-08-13,502.135986328125,504.5358296539035,497.0332759400453,501.8796647668764,1732526
2015-08-14,513.4364013671875,514.2984859246089,503.2310381191379,504.72220833281295,1800830
2015-08-17,508.6365966796875,513.4363967544215,501.32045400254617,512.1549028095116,1250106
2015-08-18,506.236572265625,510.78004968129636,502.55517918782544,508.68306010483263,928658
2015-08-19,504.13970947265625,506.53960952393305,500.9476359137333,505.53770287520615,1502288
2015-08-20,500.80780029296875,505.491100818815,497.68563786540165,497.68563786540165,1522426
2015-08-21,494.5634765625,499.9923053005185,489.76367657867286,495.8216478398743,3879486
2015-08-24,474.8750305175781,486.82785647139923,471.24025353353164,486.82785647139923,7343164
2015-08-25,474.595458984375,481.049545496578,468.6539871109172,477.50791675460613,6173960
2015-08-26,472.28875732421875,479.51172302577316,470.191767281832,474.1061600711864,2786500
2015-08-27,476.2962951660156,482.0513560773523,470.23832433629457,477.6477000356979,6936716
2015-08-28,479.0223388671875,485.9191279539663,475.0380924474066,480.4669773229028,2776568
2015-08-31,478.7893981933594,481.3291202350612,473.24404165486226,475.83032365560126,1720730
2015-09-01,466.0443420410156,475.9235001066868,462.7357693670518,475.9235001066868,5234572
2015-09-02,463.7376708984375,472.4984228837109,459.0077823732264,468.37432574323367,4340844
2015-09-03,470.7975158691406,472.98771095808524,465.53174704150456,467.0695339108503,3253684
2015-09-04,464.15704345703125,468.79372666066274,456.6777854149597,467.0229409362782,5702296
2015-09-07,458.7514953613281,470.5645270675803,456.67779966419965,466.4637525141468,2690870
2015-09-08,467.8851013183594,470.6577940111323,455.2798660879963,459.8000505902165,3722244
2015-09-09,473.59356689453125,477.6477535152569,468.32779734910554,472.75477652802743,3276560
2015-09-10,471.1237487792969,473.8964412187223,464.27357582373014,467.3957665931105,2231870
2015-09-11,470.8907470703125,475.3177258898751,469.1665496310862,472.7547381522336,2150880
2015-09-14,475.177978515625,476.38956145994774,467.6288082103268,470.1218851482503,2530172
2015-09-15,472.1256103515625,475.1545955890252,469.7722990671231,474.36239376154765,2166364
2015-09-16,476.8788146972656,479.09230414257,471.3800466058009,474.8051473391466,2127026
2015-09-18,489.18115234375,494.8896249479043,480.5136053176061,482.30768533058466,3920584
2015-09-21,490.67236328125,491.627681529965,482.9368111383415,483.68239624527894,2138344
2015-09-22,480.2806701660156,493.95769496576196,477.7875931768149,489.32103935644,3012606
2015-09-23,488.9248352050781,490.90532571815976,474.68863752997567,474.9449306138075,2580576
2015-09-24,489.9500427246094,491.1616254902869,482.77366604168617,487.89964126027553,4126418
2015-09-28,487.6200866699219,493.95764507894154,486.08227124748214,491.6276561870597,2888554
2015-09-29,496.1944274902344,500.4349956429207,477.6942826645392,480.90967851991354,5209420
2015-09-30,498.05841064453125,500.0155784120124,494.5866933272859,497.6855896962062,4513898
2015-10-01,497.5225524902344,501.83303205310455,493.6547480746174,501.04080167842005,2517394
2015-10-05,511.8286437988281,514.8343635724283,501.97277949984925,501.97277949984925,4026686
2015-10-06,506.05035400390625,516.27904117557,504.67568306883175,515.8596317240967,2379482
2015-10-07,506.88916015625,511.8287259778382,504.8387582441276,507.0056596184785,2193134
2015-10-08,504.72216796875,508.26373960637176,501.13400793152,507.0521567940923,1940954
2015-10-09,506.1434326171875,510.2675010432423,503.3707120653014,510.2675010432423,1721614
2015-10-12,503.533935546875,510.50057976476376,502.2524416223172,506.8657742431286,1108670
2015-10-13,501.57666015625,504.2794698240538,500.1087558863995,501.2038960919086,911826
2015-10-14,505.49114990234375,506.3066461109901,497.2430110029785,498.0585072116248,1374574
2015-10-15,505.2115783691406,510.966640415986,503.74367377079875,505.93384090295757,1962976
2015-10-16,512.6207885742188,513.2964624800674,505.6075004910332,507.9374889725587,2421844
2015-10-19,511.5723571777344,513.5761133895636,509.9413650384706,512.5975294829036,1327110
2015-10-20,510.2210388183594,513.9490214830153,508.4968127052554,511.6656207240133,1925678
2015-10-21,510.2676086425781,514.4615889875856,505.6076304814587,512.0850115023145,3636602
2015-10-23,516.5584716796875,518.9816370654817,510.73350019029095,512.3411695675695,2233524
2015-10-26,513.2965698242188,519.2147190511444,511.19957975230864,519.0982196027048,2443992
2015-10-27,517.6768798828125,519.1214614417044,510.52382623894687,510.52382623894687,4492016
2015-10-28,517.9564819335938,523.7814536152581,514.9508192996506,514.9508192996506,3847380
2015-10-29,514.2518310546875,519.3544835769504,512.5975163164159,517.2574937374742,3351184
2015-10-30,512.4111938476562,518.1895782190855,508.14730239818016,513.5295999976909,4048730
2015-11-02,504.72216796875,510.6869621154234,501.64659409619674,510.2908753920138,1578276
2015-11-03,505.56103515625,508.86960822845475,502.90481351007287,508.38028777443577,1274296
2015-11-04,504.0698547363281,511.71223090091314,502.4621848975984,507.96098231570926,1348222
2015-11-05,503.20770263671875,504.6756070535243,498.384636882497,502.5786169965152,1798476
2015-11-06,503.6970520019531,507.47162294447503,501.0641529578023,503.6038183078111,2940502
2015-11-09,496.1944274902344,498.45450520327955,489.76363577948564,493.02562003301216,5714716
2015-11-10,491.4411926269531,496.2875803755937,490.4392861347432,493.9809143755306,2201290
2015-11-13,490.2529296875,491.6276002234291,485.10363206880544,489.01802433847723,1970014
2015-11-16,494.4002685546875,496.28758211370405,487.0841269524405,488.7151190063353,2367366
2015-11-17,494.3304138183594,495.72840700575915,489.8567901110893,495.4954081411925,1283702
2015-11-18,488.6452331542969,496.6836944056445,487.5734724514787,494.74979235088574,1223360
2015-11-19,498.10504150390625,499.0603028281258,489.1112615404055,491.6276609448897,1638840
2015-11-20,499.0137634277344,503.3941543938987,493.9576983638349,496.2410991010961,2324080
2015-11-23,496.77691650390625,501.1805724199086,493.5149323040556,500.4815758056548,1704140
2015-11-24,495.9847106933594,500.2486016276806,494.9362157202226,496.40412005951265,2001126
2015-11-26,495.79833984375,497.21965589697334,489.81027945094365,493.49167347225375,4395742
2015-11-27,502.998046875,504.3028066107034,494.4003531603285,496.21775599400286,3462536
2015-11-30,502.2291259765625,503.743618817596,498.4778209549732,502.90480002876336,2623888
2015-12-01,504.6756286621094,505.56103587876714,500.24864946331894,501.9029644440347,947666
2015-12-02,502.25238037109375,509.1957010988873,499.4796597235856,507.9375299711031,1281142
2015-12-03,501.7630920410156,503.74358253665,497.3594359280492,499.7826015453813,1903856
2015-12-04,493.4450378417969,500.29518213780085,492.09363296527795,500.29518213780085,2929914
2015-12-07,494.8663330078125,499.13022418622666,494.4702462610737,497.77881921103307,2907404
2015-12-08,488.94818115234375,494.84306457268076,487.89968612485484,494.423655184786,2451330
2015-12-09,488.1094055175781,492.5597075591647,486.89782253340564,487.9463176535647,1945308
2015-12-10,494.2371826171875,495.4487653421044,485.70945826203143,486.96762938319733,3257170
2015-12-11,487.5967712402344,494.2372396803301,485.56969225120946,493.9576523860672,1516960
2015-12-14,491.6509704589844,493.8877256264115,484.68426966017535,485.10367903047216,2939008
2015-12-15,493.70135498046875,495.09934840460653,487.10753150421715,490.69569187237164,2278708
2015-12-16,497.3594970703125,500.1787497564542,493.65478026293675,495.35568368636086,3421384
2015-12-17,503.3941345214844,505.1416263099181,496.28766791518706,500.43505980330286,2439006
2015-12-18,500.0156555175781,505.6076292978306,497.9186653499834,505.6076292978306,1586064
2015-12-21,501.1339416503906,503.230931315846,498.17486761047843,499.43303865595755,1548750
2015-12-22,496.9632873535156,501.64658758546756,495.8216155977125,500.71459206742674,1214768
2015-12-23,500.5281677246094,502.32224767025184,498.2215016351392,499.82917110543775,1506984
2015-12-24,500.4815673828125,501.59997332369426,497.82540304714627,501.50673964600213,1073176
2015-12-28,501.99609375,503.23099920760177,497.56911497012067,500.4816010095149,3877714
2015-12-29,502.32220458984375,503.2076116084246,499.2233653515394,502.7882022959931,2115806
2015-12-30,500.6214599609375,504.1862976280904,499.8059638098507,503.27762467067834,1056280
2015-12-31,504.2795104980469,505.5610043968438,500.94761498427573,500.94761498427573,4645004
2016-01-01,507.35516357421875,508.05416035526247,501.4836019903524,504.3960885780345,1597538
2016-01-04,498.8506164550781,505.1415863963612,497.73221042195127,505.1415863963612,2593768
2016-01-05,495.0760498046875,500.8544336180553,494.5867293848985,498.71079833564073,1580436
2016-01-06,497.2661437988281,501.7630330666875,492.39649049453396,492.39649049453396,2082768
2016-01-07,492.1867980957031,496.2410126291533,489.1578127373224,494.0042006876297,3027714
2016-01-08,495.0527648925781,496.0546715666769,492.67618742495927,494.86635439061814,1744178
2016-01-11,493.3052062988281,494.4236122746511,487.10747036048133,490.2529551699572,1644456
2016-01-12,487.8763122558594,495.7750080976318,486.26864280297565,495.7750080976318,2129368
2016-01-13,494.0275573730469,495.23914022299317,483.2396973994297,490.2296640927677,2257574
2016-01-14,489.18115234375,492.7460466122224,484.4046752668046,489.3675628260903,3139592
2016-01-15,485.6396179199219,491.8373545199459,483.75230407894827,488.3656936689417,2708630
2016-01-18,478.0437927246094,485.3133464342084,475.78371495602624,482.61059354556505,3247694
2016-01-19,482.6805419921875,483.4960381388057,478.25356291054555,478.6729154212089,3202606
2016-01-20,474.5255432128906,516.3255506065844,469.6791832689357,477.6477340900262,4781794
2016-01-21,476.7157287597656,481.49220600295973,472.24216145035587,475.783733200118,3150402
2016-01-22,480.1175537109375,486.6182002348754,476.27304343776956,477.9739183339789,2118142
2016-01-25,485.1735534667969,487.759806766924,481.39898318790233,484.6143220537637,5071942
2016-01-27,482.6106262207031,488.69186329525,481.3757206910147,488.5753638468737,2019734
2016-01-28,480.7698974609375,487.8530980036385,479.97772397128807,484.1717040836586,4975986
2016-01-29,489.2277526855469,491.6043299610446,482.4008739051954,482.4008739051954,2680092
2016-02-01,493.841064453125,497.2195477909737,491.021755603609,493.0255684750236,2304742
2016-02-02,491.0684509277344,496.40410240300577,489.3908135227929,496.28760296568987,3264314
2016-02-03,486.4317626953125,489.9500686260465,485.5696781944189,486.73467262386805,2425122
2016-02-04,488.9248352050781,491.5810566121423,487.2239888602614,488.3656606375347,2837996
2016-02-05,491.7441711425781,495.7284750271694,487.2472810625035,490.6024993033425,3761952
2016-02-08,482.70379638671875,493.02565874779907,480.11754279903204,491.62766538651044,1740962
2016-02-09,478.1370544433594,480.700042284393,475.62065500435443,478.439907498794,2767730
2016-02-10,472.0325012207031,480.04766947705355,470.70439035776496,477.1351830788339,3841140
2016-02-11,454.4876403808594,472.0557628096073,451.17906743796766,470.6577694350478,4401800
2016-02-12,452.6702880859375,459.6835495011226,450.15388851238464,456.21186009691985,6271072
2016-02-15,453.69537353515625,460.5222515810776,452.53037922303616,456.6777703510813,5456480
2016-02-16,453.6255187988281,457.6097939025036,448.2898388332062,457.37679502577123,3568048
2016-02-17,454.30126953125,456.6312585462995,446.8918930864931,455.23326513726977,3751962
2016-02-18,461.0814514160156,461.9202416266114,455.2797740925088,459.4737535877315,3399928
2016-02-19,461.0115966796875,462.5493836606152,453.6488374662704,460.7553035899074,1664330
2016-02-22,460.7552795410156,464.1337632595212,458.07579245392503,458.07579245392503,2001198
2016-02-23,452.04107666015625,459.24074702803995,450.15379160739377,458.96115977660963,3039160
2016-02-24,442.511474609375,448.7092677545136,441.0203044870604,447.3578628336382,3231734
2016-02-25,439.2728271484375,446.0763834904843,437.19913129907627,444.5618906763354,4231598
2016-02-26,447.8238220214844,452.48379935781617,440.3678582833535,442.6978469515194,3104694
2016-02-29,452.8799133300781,457.8893892683402,432.4459228564843,447.87043739181604,4406376
2016-03-01,458.61175537109375,459.82333829829906,452.87995956325943,454.32456983734943,2161280
2016-03-02,469.35296630859375,471.0771637705683,463.66778774527756,465.0657810751628,3179488
2016-03-03,473.38385009765625,475.3177523296222,470.6577743656063,471.0072727129075,2305200
2016-03-04,475.57403564453125,477.6011430825206,462.7823907080387,473.1974583086792,2852312
2016-03-08,472.5916442871094,477.181710890949,470.42474330509083,477.181710890949,956844
2016-03-09,477.5545959472656,479.93117348848295,469.14331241463833,472.0557988338998,3264086
2016-03-10,475.90020751953125,477.99719741802613,470.70432117191785,477.5545223043627,1335696
2016-03-11,479.37188720703125,480.3505280397141,472.05574491136343,475.27114092783614,2365428
2016-03-14,478.83599853515625,483.6823295037713,477.76418098373784,479.045674763504,1504328
2016-03-15,478.4398498535156,481.5620687961978,476.08659543188895,478.99908126396815,3845018
2016-03-16,480.1874084472656,481.95822283439355,474.8284622097021,478.57973879712074,2401774
2016-03-17,474.5721435546875,484.1716863047157,471.193659699337,482.28437256965344,2556742
2016-03-18,479.2320861816406,480.90966666520274,473.1507929336772,476.6923928155508,2067534
2016-03-21,487.2472839355469,488.062780078237,481.0262247382102,481.37572308507737,2659398
2016-03-22,491.0917663574219,492.37326029751716,484.9638839578853,487.6666939307939,2060132
2016-03-23,488.9947509765625,490.71897686473505,484.8940047110987,490.71897686473505,4232150
2016-03-28,488.1326904296875,490.69567830306534,485.4066147049031,486.96769594178846,5635434
2016-03-29,491.0684509277344,493.7246153447403,486.61814966847106,488.13264235357764,3366976
2016-03-30,496.2643127441406,498.5710358843822,491.1150714090857,493.0256509289815,3907190
2016-03-31,499.15350341796875,502.7649859958694,496.3109285077452,497.1496903306274,10040196
2016-04-01,496.0312805175781,501.5999877415066,492.4664432500042,498.0584162306576,2579324
2016-04-04,498.17498779296875,499.9224796024228,495.82167606910434,496.38085069433004,3089980
2016-04-05,492.7693176269531,501.8330083564534,491.93055577421217,498.1516146078039,3331514
2016-04-06,494.6566162109375,497.19628121818624,492.44312687791637,494.4236173337774,2147688
2016-04-07,491.8606262207031,496.17110541780545,487.9229679782277,495.8216071045269,1955846
2016-04-08,493.6547546386719,495.5187458257793,491.2781772520092,491.62767559959184,1481398
2016-04-11,499.06036376953125,500.52826834177085,485.96583584832655,494.097532283367,2024810
2016-04-12,495.35565185546875,499.0836341836378,493.60816013913944,498.431225899309,2470740
2016-04-13,504.0931091308594,505.58427930446453,498.3846362056428,499.5496306801768,2487302
2016-04-18,506.912353515625,508.8695212280915,499.36315615792176,504.90854052256145,2058534
2016-04-20,511.59564208984375,512.5975486755174,504.9319080877582,508.8229781030782,1910676
2016-04-21,508.47357177734375,514.9975417591118,507.4716650103857,510.26765214542917,4095864
2016-04-22,508.9394836425781,512.9936415495976,505.7007649609989,507.7045781563499,3904660
2016-04-25,509.4520568847656,512.5975418003587,505.37457643862643,512.5975418003587,2780980
2016-04-26,519.0516357421875,519.5875445865977,509.10259413529866,510.2675886298874,3526898
2016-04-27,523.87451171875,524.2473325757054,516.7913705124065,517.187457120124,2881818
2016-04-28,519.09814453125,529.6995928060691,517.4205640932312,523.8746212264981,4044792
2016-04-29,527.672607421875,529.3735108009078,515.4867533447608,519.0283821992667,2805970
2016-05-02,520.8223876953125,526.5774484318064,520.0534800441557,525.5289535123625,1931358
2016-05-03,520.9855346679688,528.9074971808091,518.7254567397341,522.8029374448726,2347648
2016-05-04,525.342529296875,528.6744244417396,519.2379704135816,520.7524630353847,2646164
2016-05-05,527.6492919921875,528.7909637624865,523.1756679411961,525.6454788491604,2607124
